alte Adresse,neue Adresse,Name der Seite Neu,"Name der alten Seite alt, wenn anders",Anmerkungen und Bezug zu welcher dt. Seite
http://oekodorf7linden.de/index.php?id=1&L=2,http://draft.siebenlinden.org/en/landing-page/,home,,
http://oekodorf7linden.de/index.php?id=53&L=2,http://draft.siebenlinden.org/en/social-life/ ,social life,,
http://oekodorf7linden.de/index.php?id=77&L=2,http://draft.siebenlinden.org/en/commitments/,commitments,"Society, Culture and Philosophy",
http://oekodorf7linden.de/index.php?id=52&L=2,http://draft.siebenlinden.org/en/ecology/,ecology,,
http://oekodorf7linden.de/index.php?id=55&L=2,http://draft.siebenlinden.org/en/economy/,economy,,
http://oekodorf7linden.de/index.php?id=141&L=2,"nichts rübergerettet, weil unbrauchbar/ alt",,network,this page was out of date: nur eine alte GEN conference angekündigt.
http://oekodorf7linden.de/index.php?id=90&L=2,"nichts rübergerettet, weil unbrauchbar/ alt",,support us,diese Seite war leer.
http://oekodorf7linden.de/index.php?id=4&L=2,"nichts rübergerettet, weil unbrauchbar/ alt",,photos,nur ein link zur alten photogallery
http://oekodorf7linden.de/index.php?id=20&L=2,http://draft.siebenlinden.org/en/contact/ ‎,contact,,
http://oekodorf7linden.de/index.php?id=84&L=2,http://draft.siebenlinden.org/en/get-to-know-us/ ‎,get to know us,,"zur dt. seite ""uns kennenlernen"""
http://oekodorf7linden.de/index.php?id=uebernachtenhtml&L=2,http://draft.siebenlinden.org/en/seminar-and-guest-service/ ‎,seminar house and guest service,accomodation,"Informationen über Unterkünfte. War unterlink bei contact: habe es zur dt. Seite ""Unser Gästebetrieb"" gepackt."
,,,,
,, ,,
